Division,Dept,INS1,INS2,INS3,INS4,INS5,INS6,ARTSC1,ARTSC2,ARTSC3,APSC001,APSC002,APSC003,APSC004,APSC005,APSC006,APSC007,APSC008,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,UTSC1,UTSC2,UTSC3
ARTSC,ETHIC,3.939816933638444,3.9297482837528603,3.9494279176201377,3.8780320366132726,3.968421052631579,3.6693363844393594,3.454233409610984,3.2846681922196796,3.608009153318078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,FAR,4.177608404816243,4.312371134020619,4.2744235460769655,4.040111749429448,4.096372078381994,3.9940505233335957,3.708703864011962,3.090816085622098,4.026064373967104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,FOR,3.655560165975104,3.877356253704801,3.912033195020747,3.712211025489034,3.7409602845287493,3.5256075874333135,3.360877296976882,3.1285121517486663,3.608061647895673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,FRE,3.742922334357174,3.898025449758666,4.130934620447564,3.7621763931548924,3.840851250548486,3.6141772707327777,3.5502939885914873,3.111715664765248,3.6298464238701182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,GER,4.22946332046332,4.387007722007722,4.45980694980695,4.2206563706563704,4.30418918918919,4.146177606177607,3.9417567567567566,3.0987065637065636,4.146776061776062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,GGR,3.865982459485224,4.0589094375595804,4.098673021925643,3.9006596758817924,3.939603431839848,3.7216587225929456,3.700522402287893,3.1760343183984747,3.765246901811249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,GLAF,4.183956834532374,4.15021582733813,4.197194244604317,3.9130215827338133,3.9397841726618705,3.886043165467626,3.9876258992805758,3.66705035971223,3.955755395683453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,GLG,3.2773519163763067,3.552264808362369,3.5466898954703834,3.3526132404181186,3.3658536585365852,3.1881533101045294,0.0,2.952264808362369,3.336933797909408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,HIS,4.199213098543338,4.323216825771118,4.280148708781805,3.997200775871905,4.028522800745446,3.9762841821017,3.6985939223367437,3.276931502681322,4.028320085193777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,HMB,4.090287913508432,4.1727921734532,4.165406310594042,3.8497253070098125,3.8455725953346263,3.7570377225453906,3.984114812856219,3.471282096480404,3.7463100064633643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,IHPST,4.038944599704093,4.162562880157816,4.22565263850074,3.8910406049646555,3.9609469012000655,3.887114088443202,4.0562962354101595,2.8681916817359854,3.9621214861088276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,IMM,4.01187327076439,4.20282862257907,3.936714587967233,3.7252167308631257,3.754825584549449,3.644017794173493,3.8850995497206093,3.3381337818043724,3.7309520967829437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,INNIS,4.025169333056306,4.198732599210472,4.327280282568045,4.084063993351339,4.1455225431124045,3.974506544774569,3.9662580511115726,3.200311655931851,4.041055474755869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,IRE,4.0917016393442625,4.307311475409835,4.335016393442623,4.195016393442622,4.2225245901639346,4.069836065573771,4.317934426229509,3.1672786885245903,4.038590163934426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ITA,4.234243341404358,4.420722356739305,4.487913640032284,4.218926553672317,4.278591606133979,4.157243744955609,4.046852300242131,3.032970137207425,4.1858353510895885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,JSP,4.0376716653512235,4.2066298342541435,4.136543014996054,3.865666929755328,3.9224151539068663,3.776716653512234,3.719494869771113,3.024782951854775,3.7515390686661405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,LAS,4.484531835205992,4.556179775280899,4.546067415730337,4.360674157303371,4.378651685393258,4.3277153558052435,4.0,3.4037453183520596,4.382022471910112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,LIN,3.903265469307418,4.091997785705499,3.944913273465371,3.893234100135318,3.8995509902817074,3.635939229917579,3.660647066059786,3.1665026448517652,3.6129105671054247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,LMP,3.9491707659873505,4.021363316936051,3.7339775122979617,3.4014406184118062,3.454813773717498,3.4303232607167957,3.1089248067463107,3.3598383696416025,3.4685523541813073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,MAT,3.77920312140722,3.828752299379168,3.8621637157967346,3.657211427914463,3.6622585651873996,3.4253219130834673,3.6110571395723152,3.4112137847781097,3.4179811450908253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,MEDGM,4.006522834645669,4.159125984251968,3.9214055118110234,3.6938566929133856,3.690385826771654,3.6123511811023623,3.6906826771653543,3.5600393700787403,3.63643937007874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,MST,4.476533333333333,4.657866666666667,4.8232,4.4096,4.425066666666667,4.484533333333333,4.889866666666666,2.922933333333333,4.560266666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,MUSIC,3.92124126592684,4.119441019317715,4.16718043567612,3.837381833127826,3.9263049732840116,3.827558569667078,3.679325935059597,2.880189066995479,3.9084669132757908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,NEW,4.2939470555599595,4.404145200919395,4.412673377189506,4.239502258857097,4.296738527383688,4.160632479987319,3.8952286597447885,3.1328366489656814,4.214052468891178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,NMC,4.21028180619644,4.387636783124588,4.293312458800264,4.093223467369809,4.11952867501648,4.041179960448253,3.81931608437706,3.1598005932762026,4.06533948582729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,NUSCI,3.9473058485139023,4.191869606903164,4.044669223394056,3.916979865771812,3.9056279961649087,3.8466059443911793,3.6040364333652923,3.0406903163950143,4.04372003835091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,OISUT,4.0702127659574465,4.148936170212766,4.473049645390072,4.118439716312057,4.24113475177305,4.068085106382979,4.567375886524823,2.7652482269503547,4.220567375886525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
